pid,cause,mean_risk_reduction,share
P05,Time-on-task (vigilance),0.039237267372836906,0.07476038968870831
P06,Boredom,0.0076792739183119225,0.013959255494596841
P06,Fatigue,0.01971848021191057,0.03584392302856141
P06,Hunger,0.03606740113592122,0.06556271762644868
P06,Low intrinsic motivation,0.10241925636665597,0.18617600861710693
P06,Phone pull,0.22369515127107076,0.4066292989040542
P06,Stress,0.03913115405013023,0.07113195635353402
P06,Task aversiveness,0.08270931160100253,0.15034760117977602
P06,Time-on-task (vigilance),0.03870056500274853,0.07034923879592182
P07,Boredom,0.007269501604771516,0.012399217877533592
P07,Fatigue,0.012823604394632043,0.02187256754437947
P07,Hunger,0.022979767932256208,0.03919541735573492
P07,Low intrinsic motivation,0.09023729789867242,0.1539131536323129
P07,Phone pull,0.28933127412885096,0.4934975878337092
P07,Stress,0.04021861079187331,0.06859883181163899
P07,Task aversiveness,0.07619773174007821,0.12996658216554335
P07,Time-on-task (vigilance),0.04722932062913345,0.08055664177914758
P08,Boredom,0.004046583114607025,0.008753030062622567
P08,Fatigue,0.005028673076787026,0.010877356369459397
P08,Hunger,0.02518029383125397,0.054466660549993336
P08,Low intrinsic motivation,0.052914427383467404,0.11445744731204611
P08,Phone pull,0.21368949587855526,0.4622246790730501
P08,Stress,0.04897333219293692,0.10593259468815021
P08,Task aversiveness,0.0722353328904728,0.1562498588232407
P08,Time-on-task (vigilance),0.04023840983936335,0.08703837312143756
P09,Boredom,0.007119818973686209,0.013213188577735275
P09,Fatigue,0.01216052407173293,0.02256789089129136
P09,Hunger,0.023578438871018677,0.04375762365908493
P09,Low intrinsic motivation,0.09372321361420205,0.17393454807948
P09,Phone pull,0.22024516181021866,0.4087380405439641
P09,Stress,0.042648737352041756,0.07914889568365957
P09,Task aversiveness,0.08778587131650653,0.16291583767125767
P09,Time-on-task (vigilance),0.05158008369244141,0.09572397489352708
P10,Boredom,0.005797516035121645,0.011092938817912736
P10,Fatigue,0.01330792111731938,0.02546331115838566
P10,Hunger,0.02278434122698018,0.04359544703390109
P10,Low intrinsic motivation,0.0910001099653138,0.17411916519992449
P10,Phone pull,0.20750873675735945,0.3970462016985951
P10,Stress,0.05314870427023784,0.10169447072667132
P10,Task aversiveness,0.0883345856032041,0.16901896392623914
P10,Time-on-task (vigilance),0.04074929486760185,0.07796950143837043
P11,Boredom,0.004205313702713175,0.007886150597520538
P11,Fatigue,0.01297060139272057,0.024323539967401244
P11,Hunger,0.023428683148634274,0.04393539618519234
P11,Low intrinsic motivation,0.09213621937981196,0.17278142675696254
P11,Phone pull,0.21648162780593952,0.40596417750537295
P11,Stress,0.05639478875491674,0.10575615244819814
P11,Task aversiveness,0.09073162643054378,0.17014741837870578
P11,Time-on-task (vigilance),0.03690416958114505,0.06920573816064637
P12,Boredom,0.0035466282252623453,0.0072516752902495075
P12,Fatigue,0.004732384487125454,0.009676152522783593
P12,Hunger,0.02336641907776765,0.047776556516669684
P12,Low intrinsic motivation,0.07784210996819908,0.15916122850895062
P12,Phone pull,0.2259078234830502,0.46190637342737084
P12,Stress,0.04490600797540341,0.09181785282693176
P12,Task aversiveness,0.076320184889052,0.15604939783793476
P12,Time-on-task (vigilance),0.032455528678636145,0.06636076306910926
P13,Boredom,0.005685777237412089,0.011019930097389498
P13,Fatigue,0.013736100202877233,0.026622721525288256
P13,Hunger,0.025934162418112323,0.05026448364903294
P13,Low intrinsic motivation,0.08214089309063717,0.15920196346066598
P13,Phone pull,0.22794408414514283,0.4417914681680813
P13,Stress,0.0417303772254092,0.08088003113027593
P13,Task aversiveness,0.08123339387984459,0.15744308733014029
P13,Time-on-task (vigilance),0.03754923212225319,0.07277631463912594
P14,Boredom,0.00618699759124104,0.011397753320215418
P14,Fatigue,0.01233144062208398,0.022717112172853476
P14,Hunger,0.02342075359240565,0.04314596346339337
P14,Low intrinsic motivation,0.0900242681943125,0.16584367240813325
P14,Phone pull,0.223792826524986,0.412273545277703
P14,Stress,0.05125234199970729,0.09441761413047582
P14,Task aversiveness,0.08837624355527364,0.16280766374247702
P14,Time-on-task (vigilance),0.047441193497982766,0.08739667548474872
P15,Boredom,0.004753175194825505,0.00932867222615887
P15,Fatigue,0.014619808088739908,0.028693113987818746
P15,Hunger,0.02569871766625067,0.05043679307298327
P15,Low intrinsic motivation,0.07697188483389795,0.15106648815023185
P15,Phone pull,0.24118826767616808,0.47336069084839183
P15,Stress,0.049998902342371344,0.0981287986454773
P15,Task aversiveness,0.07380649348995927,0.14485403077073722
P15,Time-on-task (vigilance),0.022485979693896627,0.04413141229820092
P16,Boredom,0.005857484618459623,0.010518164271903892
P16,Fatigue,0.012583320758541523,0.022595609454490344
P16,Hunger,0.024046468253794872,0.04317974689262598
P16,Low intrinsic motivation,0.0873938401046183,0.15693131547900008
P16,Phone pull,0.2518950255281577,0.45232269999154245
P16,Stress,0.05144131219704311,0.09237210292377694
P16,Task aversiveness,0.08434735365227788,0.151460802614679
P16,Time-on-task (vigilance),0.03932748778522515,0.07061955837198128
P17,Boredom,0.004173387884507389,0.00772049762991514
P17,Fatigue,0.012534194064367465,0.02318744824224931
P17,Hunger,0.022455911541070735,0.04154198378588639
P17,Low intrinsic motivation,0.07625655534535465,0.14106969471849026
P17,Phone pull,0.28867420612865874,0.534028608389707
P17,Stress,0.044182330025705235,0.08173445260476887
P17,Task aversiveness,0.07073841971551675,0.13086150074498845
P17,Time-on-task (vigilance),0.021544436481158894,0.03985581388399462
P18,Boredom,0.003927593721337501,0.007949069923668449
P18,Fatigue,0.0035315276826424244,0.007147470557910884
P18,Hunger,0.023987306276673264,0.0485479885146557
P18,Low intrinsic motivation,0.08804845819065266,0.17820156576438134
P18,Phone pull,0.2089223878676456,0.4228387118447039
P18,Stress,0.04432450587897874,0.08970851405783131
P18,Task aversiveness,0.08676222206558323,0.1755983482164514
P18,Time-on-task (vigilance),0.034590748903979146,0.07000833112039699
P19,Boredom,0.0034693165330876687,0.006368163459047007
P19,Fatigue,0.012223426880421103,0.022436920834938298
P19,Hunger,0.021516584641569955,0.03949513593560457
P19,Low intrinsic motivation,0.07333894418436229,0.13461855671736198
P19,Phone pull,0.29186688316404147,0.5357412627371304
P19,Stress,0.041507172413601336,0.07618920214737886
P19,Task aversiveness,0.07121437979717357,0.13071877612142813
P19,Time-on-task (vigilance),0.029654040204714294,0.05443198204711072
P20,Boredom,0.00515398743541073,0.009425077326527184
P20,Fatigue,0.0031683275995297703,0.005793908696046056
P20,Hunger,0.02324223573128965,0.0425029885606077
P20,Low intrinsic motivation,0.0880673054946577,0.16104834841528748
P20,Phone pull,0.25394686748450646,0.4643916759335456
P20,Stress,0.04657356591793114,0.08516890381468899
P20,Task aversiveness,0.08559306542300753,0.15652371495586645
P20,Time-on-task (vigilance),0.04109232664861323,0.07514538229743063
P21,Boredom,0.004751941322723256,0.008516246653086389
P21,Fatigue,0.01190726406512875,0.021339741140565048
P21,Hunger,0.021562798463177366,0.03864401889078315
P21,Low intrinsic motivation,0.08787383652377591,0.1574841134108528
P21,Phone pull,0.2774058101161213,0.4971560340299517
P21,Stress,0.04608596137769421,0.08259348920414146
P21,Task aversiveness,0.07686664401072417,0.1377574459221571
P21,Time-on-task (vigilance),0.03153114735003375,0.056508910748462364
P22,Boredom,0.002508915627796232,0.004885884505620122
P22,Fatigue,0.011531326877437372,0.022456208050806552
P22,Hunger,0.019571492302330257,0.038113697380813334
P22,Low intrinsic motivation,0.06361667676273058,0.12388767954189384
P22,Phone pull,0.30089566564354875,0.5859668831778941
P22,Stress,0.03879843356774955,0.07555641302195082
P22,Task aversiveness,0.06098564987202702,0.11876399448180681
P22,Time-on-task (vigilance),0.015594691268132241,0.030369239839214315
P23,Boredom,0.005292497008602804,0.009716335988046337
P23,Fatigue,0.011515859253826779,0.02114161945096168
P23,Hunger,0.02445134943173486,0.044889496593703546
P23,Low intrinsic motivation,0.08965386675990124,0.16459283598097074
P23,Phone pull,0.21760459280003236,0.39949372342589085
P23,Stress,0.060254409955495795,0.11061925796792052
P23,Task aversiveness,0.08819744678946508,0.16191903838610086
P23,Time-on-task (vigilance),0.04773088327160847,0.08762769220640547
P24,Boredom,0.005659964565450948,0.010578661458889941
P24,Fatigue,0.013429430765876715,0.025100051425232202
P24,Hunger,0.02519494160901847,0.04709018133880684
P24,Low intrinsic motivation,0.09013895224114486,0.1684726907724285
P24,Phone pull,0.23085903947283087,0.4314832001272451
P24,Stress,0.046826853124744994,0.08752094128214254
P24,Task aversiveness,0.08187483989351145,0.15302679075434583
P24,Time-on-task (vigilance),0.041051964444030996,0.07672748284090905
P25,Boredom,0.005141060886746894,0.010139355378064185
P25,Fatigue,0.012474978072567528,0.024603528103974318
P25,Hunger,0.024956574638138006,0.04922010939951794
P25,Low intrinsic motivation,0.08230032617506564,0.16231518614587287
P25,Phone pull,0.21773176065287556,0.4294171469632326
P25,Stress,0.04945049497835212,0.0975277580351628
P25,Task aversiveness,0.07715298477491038,0.1521634441497921
P25,Time-on-task (vigilance),0.03783203047114852,0.0746134718243832
P26,Boredom,0.007889128297402405,0.014516653696434557
P26,Fatigue,0.01360228483537372,0.025029337968860223
P26,Hunger,0.02685789848702702,0.04942077206153942
P26,Low intrinsic motivation,0.09250622867657814,0.17021917198421385
P26,Phone pull,0.19896944576685177,0.3661203660891072
P26,Stress,0.05361304853395376,0.09865247842829533
P26,Task aversiveness,0.09049307676046787,0.16651480464440158
P26,Time-on-task (vigilance),0.059522529018161345,0.10952641512714785
P27,Boredom,0.005734261471778235,0.010865179778445453
P27,Fatigue,0.012346659076580162,0.023394236762736657
P27,Hunger,0.023430577802375445,0.044395854878364366
P27,Low intrinsic motivation,0.08837696188904534,0.16745514377451737
P27,Phone pull,0.2269451675184871,0.4300117908946904
P27,Stress,0.04526356300009008,0.08576461883180589
P27,Task aversiveness,0.0823394222049812,0.15601531766792845
P27,Time-on-task (vigilance),0.04332837470432815,0.08209785741151152
P28,Boredom,0.0055151954950542655,0.00946314174028308
P28,Fatigue,0.010602268541372547,0.018191697840180654
P28,Hunger,0.02151293498180787,0.03691255426301783
P28,Low intrinsic motivation,0.0863812781253397,0.1482156488088118
P28,Phone pull,0.2727126815256731,0.46792879091310086
P28,Stress,0.05528009098890998,0.09485127715108373
P28,Task aversiveness,0.08808587568679524,0.15114044963385234
P28,Time-on-task (vigilance),0.04271775746933724,0.07329643964966959
P29,Boredom,0.006156144454202981,0.011653538330451324
P29,Fatigue,0.013226602469787244,0.025037865828192857
P29,Hunger,0.025952695114380794,0.049128270063167244
P29,Low intrinsic motivation,0.08984621971318947,0.17007826457986525
P29,Phone pull,0.23196167954031557,0.43910183457007695
P29,Stress,0.040695601241520885,0.07703648809362217
P29,Task aversiveness,0.08268113031956802,0.15651480054635467
P29,Time-on-task (vigilance),0.037743899825328366,0.07144893798826968
P30,Boredom,0.004865027835758543,0.009352388274843249
P30,Fatigue,0.013342139630254816,0.025648541889557567
P30,Hunger,0.02439963887433463,0.04690515742612542
P30,Low intrinsic motivation,0.08725262641527234,0.1677319159897961
P30,Phone pull,0.21319533328647164,0.40984051943637323
P30,Stress,0.0558525990503381,0.10736941495761429
P30,Task aversiveness,0.08711436827438399,0.16746613255352427
P30,Time-on-task (vigilance),0.03416922671606211,0.06568592947216598
P31,Boredom,0.004129623977888501,0.007962884447035514
P31,Fatigue,0.012464668044590843,0.02403480603589542
P31,Hunger,0.02336834698681492,0.04505965864460647
P31,Low intrinsic motivation,0.07978165163836433,0.1538377528781119
P31,Phone pull,0.24297117257864936,0.4685054575341161
P31,Stress,0.04154477619494573,0.08010808102374802
P31,Task aversiveness,0.07926845924437897,0.15284819747203054
P31,Time-on-task (vigilance),0.03508035630136612,0.06764316196445591
P32,Boredom,0.0034317985973110303,0.006558846465720405
P32,Fatigue,0.013217563703552862,0.02526138073790492
P32,Hunger,0.02147905343165419,0.04105072302250166
P32,Low intrinsic motivation,0.07563534472614677,0.14455411626700176
P32,Phone pull,0.26532855612540146,0.5070953942231201
P32,Stress,0.04348368400638315,0.0831059280067421
P32,Task aversiveness,0.07397764040945688,0.14138591516474297
P32,Time-on-task (vigilance),0.026678396104058894,0.05098769611226605
P33,Boredom,0.004764230112994273,0.008913835098803483
P33,Fatigue,0.012194479043438377,0.022815769333338915
P33,Hunger,0.02327799401919836,0.0435529340936176
P33,Low intrinsic motivation,0.09007902669948789,0.16853711319903167
P33,Phone pull,0.2285585107840076,0.4276310814626662
P33,Stress,0.05326471964835817,0.09965784948852098
P33,Task aversiveness,0.08724982953230483,0.1632437087218869
P33,Time-on-task (vigilance),0.03508711869858836,0.0656477086021342
P34,Boredom,0.003364882864273995,0.006884233839747537
P34,Fatigue,0.013332208352333114,0.027276444262644257
P34,Hunger,0.022801499957833798,0.04664972420684529
P34,Low intrinsic motivation,0.0760344461094512,0.15555932494728353
P34,Phone pull,0.2333166099275061,0.4773438381738937
P34,Stress,0.04614178799983844,0.09440175815554898
P34,Task aversiveness,0.06771121182107413,0.1385307704758769
P34,Time-on-task (vigilance),0.02607837676821043,0.053353905938159744
P35,Boredom,0.004464526902872741,0.008473772554645738
P35,Fatigue,0.01283113127744054,0.024353775983267135
P35,Hunger,0.023209988822189033,0.04405308122312954
P35,Low intrinsic motivation,0.08791293058824427,0.16686072110749126
P35,Phone pull,0.22933375114185173,0.4352806217898095
P35,Stress,0.04574373629223851,0.08682264113823661
P35,Task aversiveness,0.08614808054315441,0.16351099599652263
P35,Time-on-task (vigilance),0.03721999600317562,0.07064439020689753
P36,Boredom,0.0044178148377455395,0.008787802034029455
P36,Fatigue,0.012398879984719828,0.024663528633764777
P36,Hunger,0.024577046172029986,0.048888019139167245
P36,Low intrinsic motivation,0.0848587624789351,0.16879883673399013
P36,Phone pull,0.21579240687538304,0.42924862668878333
P36,Stress,0.04517219866711935,0.08985535924612663
P36,Task aversiveness,0.08168544566905933,0.16248655771355996
P36,Time-on-task (vigilance),0.033818696958844215,0.06727126981057843
